company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
1,2013,+,-,+,Mixed
1,2014,+,-,+,Mixed
1,2015,+,-,-,Shareholder Returns
1,2016,+,+,-,Liquidating Assets
1,2017,+,-,-,Shareholder Returns
1,2018,+,+,-,Liquidating Assets
1,2019,+,-,-,Shareholder Returns
1,2020,-,-,+,Growth Funded by Debt
1,2021,-,-,+,Growth Funded by Debt
1,2022,+,-,-,Shareholder Returns
1,2023,+,-,+,Mixed
1,2024,+,-,+,Mixed
2,2010,+,-,+,Mixed
2,2011,+,+,-,Liquidating Assets
2,2012,-,+,-,Unclassified
2,2013,+,+,+,Cash Accumulator
2,2014,+,-,-,Shareholder Returns
2,2015,+,-,+,Mixed
2,2016,+,-,+,Mixed
2,2017,+,-,-,Shareholder Returns
2,2018,+,-,+,Mixed
2,2019,+,-,-,Shareholder Returns
2,2020,+,-,-,Shareholder Returns
2,2021,+,-,-,Shareholder Returns
2,2022,+,-,-,Shareholder Returns
2,2023,+,+,-,Liquidating Assets
2,2024,+,-,+,Mixed
3,2013,+,-,-,Reinvestor
3,2014,+,-,+,Mixed
3,2015,+,-,+,Mixed
3,2016,+,-,-,Shareholder Returns
3,2017,+,-,-,Shareholder Returns
3,2018,+,-,-,Shareholder Returns
3,2019,+,-,+,Mixed
3,2020,+,-,+,Mixed
3,2021,+,-,-,Shareholder Returns
3,2022,+,+,+,Cash Accumulator
3,2023,+,-,+,Mixed
3,2024,+,-,-,Shareholder Returns
4,2010,+,-,-,Reinvestor
4,2011,+,-,-,Reinvestor
4,2012,+,-,+,Mixed
4,2013,+,-,+,Mixed
4,2014,+,-,-,Shareholder Returns
4,2015,+,-,-,Shareholder Returns
4,2016,+,-,-,Shareholder Returns
4,2017,+,-,-,Shareholder Returns
4,2018,+,-,+,Mixed
4,2019,+,-,+,Mixed
4,2020,+,-,-,Shareholder Returns
4,2021,+,-,-,Shareholder Returns
4,2022,+,-,+,Mixed
4,2023,+,-,+,Mixed
4,2024,+,-,+,Mixed
5,2013,+,-,+,Mixed
5,2014,+,-,-,Reinvestor
5,2015,+,-,+,Mixed
5,2016,+,-,-,Reinvestor
5,2017,+,-,-,Reinvestor
5,2018,+,-,-,Reinvestor
5,2019,-,-,-,Pre-Revenue
5,2020,+,-,-,Reinvestor
5,2021,+,-,+,Mixed
5,2022,-,-,-,Pre-Revenue
5,2023,+,+,-,Liquidating Assets
5,2024,+,-,+,Mixed
6,2013,+,-,-,Reinvestor
6,2014,+,-,+,Mixed
6,2015,+,-,+,Mixed
6,2016,+,-,-,Reinvestor
